time_s,P_0_mmHg,P_1_mmHg,P_2_mmHg,P_3_mmHg,P_4_mmHg,P_5_mmHg,P_6_mmHg,P_7_mmHg,P_8_mmHg,P_9_mmHg,P_10_mmHg,P_11_mmHg,P_12_mmHg,P_13_mmHg,P_14_mmHg,P_15_mmHg,P_16_mmHg,P_17_mmHg,P_18_mmHg,P_19_mmHg,P_20_mmHg,V_0_mL,V_1_mL,V_2_mL,V_3_mL,V_4_mL,V_5_mL,V_6_mL,V_7_mL,V_8_mL,V_9_mL,V_10_mL,V_11_mL,V_12_mL,V_13_mL,V_14_mL,V_15_mL,V_16_mL,V_17_mL,V_18_mL,V_19_mL,V_20_mL,Q_0_mL_per_s,Q_1_mL_per_s,Q_2_mL_per_s,Q_3_mL_per_s,Q_4_mL_per_s,Q_5_mL_per_s,Q_6_mL_per_s,Q_7_mL_per_s,Q_8_mL_per_s,Q_9_mL_per_s,Q_10_mL_per_s,Q_11_mL_per_s,Q_12_mL_per_s,Q_13_mL_per_s,Q_14_mL_per_s,Q_15_mL_per_s,Q_16_mL_per_s,Q_17_mL_per_s,Q_18_mL_per_s,Q_19_mL_per_s,Q_20_mL_per_s,Q_21_mL_per_s,Q_22_mL_per_s,Q_23_mL_per_s,volume_sum_mL,source_atrial_phase_s,source_ventricular_phase_s
0,85.482346310767753,85.432496057654589,85.19986154312646,3.777781458283664,1.9499388441341323,84.801651198025553,84.182837459169022,82.302852063596433,5.2234508451203459,82.376494803614079,4.9618095655454351,82.627941222617636,4.8831293950476118,3.1554669099904999,1.9797208061630911,1.4846698150778666,0.78790272298607766,13.834602123969074,8.3397333793326975,7.8687446297924373,6.7074661429727902,46.055056967014977,16.626224487495097,33.039972308625295,671.44447020798566,23.734920497374372,208.88016511980254,18.418283745916902,37.28359893335525,56.117254225601727,316.4752989607228,1434.5895593056375,216.52558824452353,812.90709614408433,83.101972617687181,35.989860403081543,32.263950484209296,138.35864352640144,220.63764722149483,541.05760041399424,47.737489259584876,158.75534692540634,0,16.616751037721162,16.616751037723532,16.616751037723017,16.616751037723017,16.616751037723777,61.881373885654519,61.88137388565309,18.799853955725894,18.799853955725879,18.799853955725872,25.804895079356321,25.804895079356214,25.804895079356214,17.276624850570954,17.276624850571114,17.276624850571118,61.881373885653097,61.881373885653069,116.12784868196481,0,78.498124923376793,78.498124923376707,116.12784868196471,5149.9999999999982,0,-0.11109841197270616
0.00050000002374872565,85.374205007109182,85.385985913392815,85.196777589911093,3.7777814376754151,1.9499016988785443,84.781842611298501,84.179734351879958,82.302831681376048,5.2234508445060932,82.376464309510965,4.9618095654525449,82.62791746337534,4.8831293948757297,3.155464711952626,1.9794002399670347,1.4793333747265061,0.79089455094020022,13.823070366009182,8.3396867255441016,7.8597620413653235,6.7134193642015143,46.024777401990576,16.620178168741067,33.039355517982216,671.44447006372786,23.734872208542107,208.87818426112986,18.417973435187996,37.283594653088969,56.117254222530462,316.47529286190218,1434.589559300558,216.52558349267508,812.90709614072568,83.101969760518728,35.989700119983517,32.245698682599041,138.41635588763646,220.59843924443123,541.05718052989687,47.719430407039454,158.81303363911266,0,-3.9269687612109765,13.514880248694437,16.616121663721565,16.617088534517006,16.806011576858506,53.851126891880149,60.210825941854296,18.769026705039096,18.799848984602431,18.799873932304248,25.761000605271327,25.804884914686141,25.804926478570266,17.242409872273534,17.276619570777694,17.276646829231037,61.898130104504808,62.508358155066084,114.73980396438431,0,78.334052006643986,79.987447363129675,114.63426771638092,5149.9999999999991,0.00050000002374872565,-0.11059841194895743
0.0010000000474974513,85.293305293596475,85.317395676217188,85.18390212099753,3.7777812562548188,1.9497966498002559,84.745175904986979,84.166878533313664,82.302626426455646,5.2234508350119642,82.376158187052852,4.9618095639855833,82.627678444616549,4.8831293922262189,3.1554506817869661,1.9785560225024328,1.4745958257349614,0.79385178473329765,13.811562617666915,8.3395524655387216,7.8515886179666481,6.7192978253857509,46.00212548220702,16.611261437908233,33.036780424199506,671.4444687937837,23.734735644740333,208.8745175904987,18.416687853331368,37.283551549555682,56.11725417505982,316.47523163741056,1434.5895592203372,216.5255356889233,812.90709608895384,83.101951523095579,35.989278011251216,32.2284801307583,138.47340092750531,220.55931290006751,541.05597218984849,47.702802802576336,158.86999592798793,0,-8.0301275402376859,9.53525394426131,16.613494054029125,16.618041876859664,16.971458002331946,49.829944419045091,57.82973716733153,18.64252106858018,18.799798924742365,18.800001392954528,25.581719232297317,25.804782874355755,25.805126888551673,17.10222320774572,17.276566456086741,17.276787104392525,61.941824172870177,62.99502459593392,113.45734016694395,0,78.171573601831327,81.32730792867892,113.22907925808971,5150,0.0010000000474974513,-0.11009841192520871
0.001500000071246177,85.222877961241579,85.25234041869156,85.162154711274027,3.7777807321594765,1.9496327417796706,84.703536679134146,84.14580050443324,82.302020660550738,5.2234507945590742,82.375258240527671,4.9618095576658199,82.62697392383663,4.8831293809552303,3.1554163383912606,1.9773388388896835,1.4704183811993665,0.79677706971540763,13.800078653291544,8.3393386806772494,7.8441668783901433,6.7251059259050194,45.982405829147645,16.602804254429905,33.032430942254805,671.44446512511638,23.734522564313572,208.87035366791341,18.414580050443327,37.283424338715655,56.117253972795368,316.47505164810553,1434.5895588747412,216.52539478476731,812.90709586871708,83.101906881068103,35.98866941944484,32.212168282735227,138.5298296748102,220.52026742119125,541.05404812609527,47.687491851174137,158.92627642201961,0,-9.8208191499935538,6.4418362441094654,16.60905591410501,16.619527185270961,17.114798592153718,47.212843827948483,55.773617470090642,18.437798438825013,18.799651186827237,18.800313237889217,25.293460912936688,25.804482894287286,25.805617418207987,16.875850895517885,17.276409898418091,17.277130425639697,62.004078921135637,63.365057211289624,112.27355191399315,0,78.010571037347063,82.528633714517682,111.90609524851239,5149.9999999999991,0.001500000071246177,-0.10959841190145998
0.0020000000949949026,85.158978802795872,85.191995727382022,85.133745074986763,3.7777797172619176,1.9494183680016179,84.660195483415478,84.119418580109979,82.300865932662404,5.2234506902934061,82.373550163294937,4.9618095412876029,82.625632841719948,4.8831293519333521,3.1553561768655758,1.9758703488040454,1.4667667557439388,0.79967288262723657,13.788618264037392,8.3390528611072448,7.8374434851285306,6.7308477574662824,45.964514064782847,16.594959444559663,33.02674901499735,671.44445802083339,23.734243878402104,208.86601954834154,18.411941858010998,37.283181845859104,56.117253451467029,316.474710032659,1434.5895579790993,216.52512656834398,812.90709530162553,83.101828678769365,35.987935174402025,32.196651411486968,138.58568990587941,220.48130209772714,541.05147574996522,47.673391202939641,158.98191476984829,0,-11.0056415287166,4.1607608853756313,16.603258236270374,16.621466811457271,17.2375575806314,45.343938125490332,54.077690330549899,18.185526474475751,18.799369571309512,18.800859212980274,24.940977383072035,25.803913540669111,25.806476634600383,16.597619315444788,17.276111886619244,17.277731750677763,62.078201476922651,63.637949132513334,111.18231218611703,0,77.850934327573526,83.601562663119026,110.65957276622483,5150,0.0020000000949949026,-0.10909841187771126
0.0025000001187436283,85.099770617517919,85.135324397798669,85.100451023349933,3.7777780981799429,1.9491613374545593,84.616499705986755,84.089929630029985,82.299078299340621,5.2234504827090227,82.370918158075753,4.9618095085916014,82.623559857222276,4.8831292941919839,3.1552670486776941,1.9742485098153248,1.4636104468792135,0.80254155013190642,13.777181256633195,8.3387019484583647,7.8313689433359723,6.7365271262285544,45.947935772905019,16.58759217171383,33.020090204669984,671.44444668725964,23.733909738690926,208.86164997059868,18.408992963003001,37.282806442861528,56.117252413545117,316.47418363161518,1434.5895561911202,216.52471197144445,812.90709417335097,83.101712823509246,35.987124254907663,32.18183026627969,138.64102650204447,220.44241627255286,541.0483175361253,47.660402158647415,159.03694785315469,0,-11.851260093583468,2.4909553177668693,16.596463862279588,16.623788733867123,17.341103234833781,43.933719230105858,52.65700759567693,17.908513306893639,18.798933613812586,18.801667582102986,24.557306742203316,25.803036216494718,25.80774942734153,16.292997475641219,17.275651236228953,17.278622455142898,62.15887046644049,63.829757867013917,110.17814945788452,0,77.692561545354721,84.555500853732056,109.48418171074179,5149.9999999999991,0.0025000001187436283,-0.10859841185396253
0.0030000001424923539,85.044077462243365,85.081414589346423,85.063593412425348,3.7777757889474524,1.9488689323597392,84.573116380038726,84.058776913736637,82.296618247773935,5.223450128886026,82.367313784934808,4.9618094527912389,82.62071166492305,4.8831291958230238,3.1551476580144131,1.9725519328001988,1.4609221421865384,0.80538526444935132,13.765767452240373,8.3382923754388933,7.8258973217748879,6.7421475733216409,45.932341689428142,16.580583896615035,33.012718682485072,671.44443052263216,23.73352961206766,208.85731163800386,18.405877691373664,37.282289832032525,56.117250644430129,316.47346275698698,1434.5895531396804,216.52414233298461,812.90709225120759,83.101557630895471,35.9862759664001,32.16761614106823,138.695881751228,220.40360933761727,541.04463137895004,47.648433118426262,159.09140998548671,0,-12.445709034352603,1.2729412086481975,16.588942372138344,16.626425968979209,17.426671077614316,42.814643836785329,51.433946630208993,17.621586659627013,18.798333687533638,18.802749735196482,24.163758982883262,25.801834777381188,25.80945421109751,15.978502764595406,17.275018326466675,17.279815378086106,62.241880274432333,63.953723826707552,109.25614628953117,0,77.535358240021139,85.399175610667569,108.3749748453247,5149.9999999999991,0.0030000001424923539,-0.10809841183021381
0.0035000001662410796,84.991083715586058,85.029617565733929,85.024150242828284,3.777772724842817,1.9485479572494202,84.530381054088636,84.026860077119622,82.29347433517465,5.2234495848576428,82.362730754759141,4.9618093669518162,82.617077739881495,4.8831290446370677,3.1549981530743758,1.9708434450436472,1.4586772296318555,0.8082060965976583,13.75437668539373,8.3378301025596411,7.8209859941319158,6.7477123938762142,45.917503440364101,16.573850283545411,33.004830048565658,671.44440907389969,23.733112344424246,208.85303810540887,18.402686007711964,37.281629610386673,56.117247924288215,316.47254615095181,1434.5895484455564,216.5234155479763,812.90708929701259,83.10136329356645,35.985421722521821,32.153929279970789,138.75029560336884,220.36488073033868,541.04047092303676,47.63739907044431,159.14533309666052,0,-12.844616715957121,0.39052306468891274,16.580893371017442,16.629316069030882,17.495383129198739,41.882060136129247,50.35209769690141,17.333857419449714,18.797567012272442,18.804103925302428,23.77327603372115,25.800307129269111,25.811588769677716,15.664248191534746,17.274210821165426,17.281308915626916,62.323932001617301,64.020776926473957,108.41185550569953,0,77.379236897629838,86.140684737954217,107.32736002557014,5150,0.0035000001662410796,-0.10759841180646508
0.0040000001899898052,84.940210211361787,84.979480874097575,84.982850587901765,3.7777688578022897,1.9482047811157328,84.488444859045941,83.994718316922132,82.2896519945553,5.2234488073059699,82.357187741391812,4.9618092442571937,82.61266717675413,4.8831288286354519,3.1548197949178762,1.9691730047913469,1.4568533924478875,0.81100600765485553,13.743008803018615,8.3373206521946877,7.8165953992072943,6.7532246546738026,45.903258859181307,16.567332513632685,32.996570117580355,671.44438200461605,23.73266621545045,208.84884448590461,18.399471831692214,37.280826918856611,56.117244036529854,316.47143754827835,1434.5895417360075,216.52253343535082,812.9070850763103,83.10113145073845,35.984586502395672,32.140697559332331,138.80430588766217,220.32622993026328,541.03588586975218,47.627221116675656,159.19874690378913,0,-13.090220911929388,-0.24069384315643966,16.572465659203974,16.632400697150516,17.548263880994476,41.069577483258712,49.372654212380951,17.050663223668323,18.796634923719349,18.805718294437217,23.39329393614743,25.798459499044871,25.814134990561676,15.35612377964447,17.273230744026375,17.283090337175757,62.402462638238383,64.039951542932428,107.64123079883865,0,77.224116440341803,86.787542164565565,106.33707445334916,5150,0.0040000001899898052,-0.10709841178271635
0.0045000002137385309,84.891039863105021,84.930686728889611,84.940242045842822,3.7777641530303896,1.9478453737979531,84.447353138753954,83.962659854540163,82.285166276830282,5.2234477547628968,82.350717275411952,4.9618090781948903,82.607500165392636,4.8831285363449481,3.1546146896489575,1.9675800849406233,1.4554302734030853,0.81378685838038989,13.731663663519013,8.3367691401730308,7.8126888185925205,6.7586872105173379,45.889491161669412,16.560989274755649,32.98804840916857,671.44434907121274,23.732198985937341,208.84473531387539,18.396265985454015,37.279884918134357,56.117238773814485,316.47014345508239,1434.5895326548991,216.52150003307852,812.90707936491231,83.100864840076611,35.983790042470311,32.127855396820529,138.85794849815773,220.28765645596465,541.03092226155729,47.617826033045368,159.251679069913,0,-13.215621928196697,-0.68252263951507075,16.563770998533148,16.635625265749422,17.586253585530994,40.335156759187967,48.469328421379032,16.774935777098818,18.795541102943265,18.807573319217628,23.027751130403015,25.796302732405689,25.817062693513321,15.057329879416967,17.27208258423282,17.285138466959904,62.475505510964958,64.018726442192246,106.94056917044924,0,77.069921762085457,87.346720263418391,105.40016080751826,5149.9999999999991,0.0045000002137385309,-0.10659841175896763
